Word,Wdnum,ValMn,ValSD,AroMn,AroSD,DomMn,DomSD,Length
admirable,2507,7.27,(1.43),5.53,(2.27),6.06,(1.99),9
admire,1055,7.63,(0.93),6.20,(1.79),6.27,(1.60),6
admired,5,7.74,(1.84),6.11,(2.36),7.53,(1.94),7
admit,1056,4.93,(1.53),4.97,(1.86),4.45,(1.96),5
adopt,1057,6.52,(1.29),4.71,(1.99),5.88,(1.39),5
adorable,6,7.81,(1.24),5.12,(2.71),5.74,(2.48),8
adore,1058,7.22,(2.01),5.74,(2.54),5.19,(1.78),5
adorn,1059,6.11,(1.12),4.56,(1.89),5.22,(1.28),5
adult,546,6.49,(1.50),4.76,(1.95),5.75,(2.21),5
adultery,2508,2.55,(1.82),4.92,(2.82),5.28,(2.61),8
advantage,629,6.95,(1.85),4.76,(2.18),6.36,(2.23),9
adventure,630,7.60,(1.50),6.98,(2.15),6.46,(1.67),9
adversity,2509,4.74,(2.05),4.86,(2.14),5.34,(1.86),9
advice,1060,6.17,(1.42),5.17,(1.74),5.47,(2.10),6
affair,1061,3.12,(1.94),6.21,(2.54),3.71,(2.16),6
affection,7,8.39,(0.86),6.21,(2.75),6.08,(2.22),9
affectionate,1062,7.20,(1.85),5.67,(2.83),5.57,(2.21),12
affirm,1063,6.17,(1.23),4.79,(1.37),6.07,(1.25),6
afford,1064,6.27,(2.02),5.31,(2.11),5.76,(2.42),6
afraid,8,2.00,(1.28),6.67,(2.54),3.98,(2.63),6
afternoon,2510,6.15,(1.41),4.46,(2.05),5.54,(1.66),9
aggravated,1065,2.66,(1.45),5.79,(2.16),4.28,(2.02),10
aggravation,1066,2.10,(1.06),6.10,(2.47),3.83,(1.91),11
aggression,2511,3.54,(1.90),5.73,(2.17),5.04,(2.20),10
aggressive,9,5.10,(1.68),5.83,(2.33),5.59,(2.40),10
agility,22,6.46,(1.57),4.85,(1.80),5.87,(1.52),7
agony,10,2.43,(2.17),6.06,(2.67),4.02,(2.49),5
agree,1067,7.00,(1.08),4.59,(1.56),6.28,(1.28),5
agreement,631,7.08,(1.59),5.02,(2.24),6.22,(1.85),9
aid,1068,6.93,(1.16),5.41,(1.78),5.55,(1.99),3
ail,1069,3.70,(1.73),4.59,(2.01),4.21,(2.08),3
air,632,6.34,(1.56),4.12,(2.30),5.10,(1.56),3
airplane,1070,6.43,(1.94),6.77,(1.59),3.73,(2.24),8
airport,1071,5.90,(2.09),5.97,(2.01),4.41,(1.82),7
alarm,1072,2.86,(1.65),7.36,(2.30),3.75,(1.96),5
album,1073,6.21,(1.73),5.18,(2.21),5.04,(1.60),5
alcohol,1074,5.97,(2.15),5.94,(1.82),5.50,(1.78),7
alcoholic,582,2.84,(2.34),5.69,(2.36),4.45,(2.56),9
alcoholism,2512,2.78,(1.98),4.55,(2.50),4.50,(2.77),10
alcove,1075,5.32,(0.98),4.19,(1.64),4.93,(1.47),6
alert,11,6.20,(1.76),6.85,(2.53),5.96,(2.24),5
alien,633,5.60,(1.82),5.45,(2.15),4.64,(2.07),5
alienation,2513,2.75,(1.74),4.45,(2.45),3.25,(2.24),10
alimony,634,3.95,(2.00),4.30,(2.29),4.63,(2.30),7
alive,635,7.25,(2.22),5.50,(2.74),6.39,(2.15),5
allege,1076,4.37,(1.40),3.87,(1.78),4.77,(1.04),6
allergy,636,3.07,(1.64),4.64,(2.34),3.21,(1.77),7
alley,637,4.48,(1.97),4.91,(2.42),4.00,(1.70),5
alone,12,2.41,(1.77),4.83,(2.66),3.70,(2.42),5
aloof,13,4.90,(1.92),4.28,(2.10),4.69,(1.92),5
alter,1077,5.76,(1.50),4.93,(2.31),5.96,(1.29),5
amaze,1078,7.57,(1.41),6.90,(1.94),5.57,(1.63),5
amazement,2514,7.23,(1.84),6.09,(2.30),5.53,(1.93),9
amazing,2515,8.18,(1.26),6.62,(2.17),6.21,(1.90),7
ambition,14,7.04,(1.98),5.61,(2.92),6.93,(2.07),8
ambitious,1079,7.62,(1.35),6.57,(2.28),6.93,(1.92),9
ambulance,15,2.47,(1.50),7.33,(1.96),3.22,(2.29),9
ambush,1080,4.03,(1.80),6.23,(1.52),4.00,(2.00),6
amputate,2516,2.12,(1.40),5.50,(2.77),3.59,(2.48),8
amuse,1081,7.57,(1.38),5.97,(2.28),5.93,(1.28),5
amusement,1082,7.96,(1.22),6.22,(2.24),5.74,(1.83),9
anarchy,1083,3.58,(1.71),5.48,(2.17),3.65,(1.96),7
ancestor,1084,5.73,(1.74),4.27,(2.03),4.83,(2.05),8
ancient,2517,5.28,(1.65),3.77,(2.23),5.32,(1.84),7
angel,16,7.53,(1.58),4.83,(2.63),4.97,(2.34),5
anger,17,2.34,(1.32),7.63,(1.91),5.50,(2.82),5
angry,18,2.85,(1.70),7.17,(2.07),5.55,(2.74),5
anguished,19,2.12,(1.56),5.33,(2.69),3.45,(2.37),9
animal,1085,6.48,(1.55),5.55,(1.53),6.00,(1.60),6
ankle,638,5.27,(1.54),4.16,(2.03),4.77,(1.74),5
anniversary,2518,7.45,(1.73),6.47,(2.31),5.49,(2.12),11
annoy,1086,2.96,(1.65),5.52,(2.49),4.44,(2.00),5
annoyance,1087,2.97,(1.61),5.18,(2.44),4.21,(1.87),9
annoying,2519,2.95,(1.52),4.69,(2.33),4.98,(2.34),8
answer,639,6.63,(1.68),5.41,(2.43),5.85,(1.88),6
antique,1088,5.39,(1.91),4.06,(2.26),5.19,(1.99),7
anus,1089,4.52,(2.06),4.28,(2.32),5.48,(1.36),4
anxiety,1090,2.77,(1.59),6.72,(1.94),2.72,(1.83),7
anxious,21,4.81,(1.98),6.92,(1.81),5.33,(1.82),7
apartment,1091,6.80,(1.35),4.75,(1.92),6.67,(1.88),9
apathy,1092,4.30,(1.95),4.00,(2.10),4.33,(1.65),6
aphrodisiac,2520,5.61,(1.82),5.41,(2.17),5.25,(1.85),11
apology,1093,5.00,(2.22),5.18,(1.66),5.31,(2.19),7
appall,1094,3.61,(2.18),6.50,(2.67),4.61,(2.28),6
applaud,2521,6.98,(1.50),5.78,(2.27),5.93,(1.86),7
applause,640,7.50,(1.50),5.80,(2.79),6.48,(2.11),8
apple,1095,6.41,(1.50),4.17,(2.11),5.86,(1.64),5
appliance,641,5.10,(1.21),4.05,(2.06),5.05,(1.34),9
application,1096,4.69,(1.65),5.62,(2.27),3.90,(1.63),11
appreciate,2522,7.40,(1.49),5.18,(2.46),5.92,(1.86),10
appreciation,2523,7.22,(1.82),5.60,(2.45),5.60,(2.15),12
appreciative,1097,7.43,(1.36),5.73,(2.23),5.90,(1.75),12
apprehension,1098,3.03,(1.61),5.68,(2.26),3.11,(1.40),12
approve,2524,7.06,(1.82),5.31,(2.35),6.37,(2.00),7
arbitrary,2525,4.74,(1.61),3.89,(1.91),4.88,(1.95),9
arch,1099,5.37,(1.08),4.37,(2.29),5.07,(2.02),4
archery,2526,5.66,(1.55),5.13,(2.22),5.45,(1.60),7
area,1100,5.45,(1.77),3.80,(2.19),5.23,(1.59),4
arena,1101,6.40,(1.61),6.43,(2.05),5.10,(2.02),5
argue,1102,2.83,(1.23),6.07,(2.12),4.70,(2.25),5
arm,642,5.34,(1.82),3.59,(2.40),5.07,(1.50),3
army,23,4.72,(1.75),5.03,(2.03),5.03,(2.45),4
aroma,1103,7.17,(1.81),5.19,(2.62),5.50,(1.75),5
aromatic,2527,6.18,(1.67),4.98,(2.18),5.30,(1.54),8
arouse,1104,7.48,(1.33),6.97,(2.16),6.10,(2.14),6
aroused,24,7.97,(1.00),6.63,(2.70),6.14,(1.97),7
arrogance,2528,3.15,(1.76),4.85,(2.39),5.32,(2.33),9
arrogant,25,3.69,(2.40),5.65,(2.23),5.14,(2.71),8
arrow,1105,5.17,(1.66),5.37,(1.88),4.87,(2.01),5
arson,1106,2.60,(2.12),6.58,(2.70),3.46,(2.48),5
art,643,6.68,(2.10),4.86,(2.88),5.30,(2.33),3
artist,1107,6.59,(1.72),4.94,(2.44),5.91,(1.35),6
artistic,2529,6.94,(1.69),5.38,(2.32),6.19,(2.08),8
ash,1108,4.04,(1.76),4.41,(2.06),4.89,(1.48),3
ashamed,2530,2.36,(1.49),4.68,(2.48),3.34,(2.15),7
asleep,2531,6.93,(1.87),3.45,(2.68),5.37,(2.20),6
asphalt,1109,5.12,(1.07),3.77,(2.10),5.19,(1.72),7
aspire,1110,7.21,(1.76),5.83,(2.25),7.00,(1.44),6
ass,1111,6.09,(2.02),6.00,(2.17),5.06,(1.98),3
assassin,26,3.09,(2.09),6.28,(2.53),4.33,(2.68),8
assault,27,2.03,(1.55),7.51,(2.28),3.94,(3.10),7
asshole,2532,3.86,(2.14),4.96,(2.16),5.15,(2.01),7
assume,1112,4.69,(1.51),4.97,(1.38),4.24,(1.88),6
assure,1113,7.04,(1.32),4.52,(2.31),6.22,(2.19),6
astonished,28,6.56,(1.61),6.58,(2.22),5.16,(1.79),10
astronaut,501,6.66,(1.60),5.28,(2.11),5.20,(1.95),9
athlete,1114,7.24,(1.74),6.50,(2.17),6.67,(1.55),7
athletics,644,6.61,(2.08),6.10,(2.29),6.12,(2.12),9
atlas,1115,5.53,(1.38),4.53,(1.96),5.37,(1.25),5
atom,1116,4.73,(1.62),4.00,(1.84),4.33,(1.69),4
atrocity,2533,3.19,(1.92),5.20,(2.36),4.46,(2.38),8
attack,1117,2.70,(2.07),7.03,(2.24),3.30,(2.52),6
attain,1118,6.70,(1.49),5.53,(2.00),6.03,(1.45),6
attend,1119,6.30,(1.73),4.74,(2.10),5.35,(1.67),6
attract,2534,7.02,(1.77),6.42,(2.32),5.42,(2.13),7
attractive,2535,7.49,(1.56),6.76,(2.10),5.54,(2.06),10
aunt,1120,6.39,(2.04),4.96,(1.69),5.39,(1.37),4
aura,2536,6.07,(1.50),4.61,(2.10),5.33,(1.59),4
authentic,2537,6.29,(1.82),4.37,(2.16),5.70,(1.80),9
author,2538,5.82,(1.42),4.34,(2.05),5.51,(1.38),6
auto,1121,6.29,(1.67),4.89,(2.28),5.19,(1.75),4
automobile,2539,5.83,(1.84),4.72,(2.17),5.82,(2.04),10
autumn,29,6.30,(2.14),4.51,(2.50),5.15,(1.85),6
avalanche,645,3.29,(1.95),5.54,(2.37),3.61,(2.00),9
avenge,1122,4.61,(1.26),5.89,(1.76),6.33,(1.41),6
avenue,646,5.50,(1.37),4.12,(2.01),5.40,(1.53),6
average,2540,4.39,(1.39),3.67,(1.81),4.77,(1.79),7
avert,1123,5.17,(1.44),4.73,(2.23),4.67,(1.77),5
avoid,1124,3.62,(1.45),5.04,(2.28),4.26,(1.95),5
await,1125,4.64,(1.87),4.54,(2.78),3.75,(2.25),5
awaken,1126,5.34,(1.88),5.00,(2.21),5.09,(1.77),6
award,1127,8.44,(1.05),7.22,(2.03),7.26,(2.21),5
aware,2541,6.37,(1.55),4.75,(2.17),6.40,(2.12),5
awe,1128,6.48,(1.62),5.50,(2.05),4.43,(1.71),3
awed,30,6.70,(1.38),5.74,(2.31),5.30,(2.03),4
awesome,2542,8.11,(1.27),6.71,(2.22),6.05,(2.15),7
awful,1129,2.66,(1.78),5.72,(2.15),3.97,(1.99),5
awkward,1130,3.20,(1.79),5.70,(1.82),3.03,(1.59),7
awning,1131,5.10,(1.47),3.97,(1.87),5.17,(1.39),6
baby,31,8.22,(1.20),5.53,(2.80),5.00,(2.80),4
backyard,1132,6.87,(1.66),4.87,(2.50),5.77,(1.92),8
bacon,1133,6.70,(2.46),5.63,(2.50),5.81,(2.39),5
bad,1134,2.56,(1.36),5.52,(1.87),3.84,(1.82),3
badge,1135,5.37,(1.71),4.60,(1.98),4.90,(1.69),5
baffle,1136,4.04,(1.49),5.48,(1.85),3.67,(1.55),6
bag,2543,5.02,(1.27),3.51,(1.89),5.33,(1.56),3
bake,647,6.17,(1.71),5.10,(2.30),5.49,(1.88),4
balcony,1137,5.77,(1.72),4.60,(2.30),4.63,(1.65),7
bald,1138,3.78,(1.83),4.26,(2.44),4.44,(2.04),4
ballet,1139,5.61,(2.08),4.00,(2.08),5.84,(1.55),6
balloon,2544,6.51,(1.63),4.72,(2.45),5.27,(2.10),7
balloons,1140,6.97,(1.61),4.90,(1.75),5.53,(1.28),8
ban,1141,3.48,(1.53),5.62,(2.06),3.90,(2.40),3
banana,1142,6.61,(1.93),4.93,(2.34),5.61,(1.64),6
band,1143,6.55,(1.62),5.66,(1.91),5.34,(1.61),4
bandage,648,4.54,(1.75),3.90,(2.07),4.52,(1.89),7
banish,1144,2.46,(1.40),5.68,(2.84),3.21,(2.25),6
bank,2545,6.06,(1.81),4.71,(2.25),5.58,(2.01),4
bankrupt,32,2.00,(1.31),6.21,(2.79),3.27,(2.39),8
banner,649,5.40,(0.83),3.83,(1.95),4.80,(1.57),6
banquet,2546,6.52,(1.86),5.34,(2.26),5.50,(1.80),7
bar,650,6.42,(2.05),5.00,(2.83),5.47,(1.94),3
barf,2547,2.40,(1.68),5.16,(2.71),4.37,(2.41),4
bargain,1145,7.28,(1.30),5.94,(2.00),6.47,(1.22),7
bark,1146,4.68,(2.16),6.07,(2.22),4.85,(2.14),4
barn,1147,5.48,(2.01),4.27,(2.27),5.73,(2.20),4
barrel,651,5.05,(1.46),3.36,(2.28),4.89,(1.57),6
baseball,2548,5.29,(2.10),4.28,(2.41),5.46,(1.97),8
basement,1148,4.67,(1.58),4.73,(2.26),4.60,(1.94),8
basic,2549,4.72,(1.32),3.72,(1.72),5.53,(1.50),5
basin,1149,4.93,(0.87),3.83,(1.97),4.47,(1.20),5
basis,1150,4.81,(0.65),3.83,(1.68),5.37,(1.33),5
basket,547,5.45,(1.15),3.63,(2.02),5.76,(1.45),6
basketball,1151,6.14,(2.04),5.94,(2.30),5.19,(1.94),10
bastard,33,3.36,(2.16),6.07,(2.15),4.17,(2.40),7
batch,1152,6.18,(1.36),4.63,(1.80),5.67,(1.41),5
bath,502,7.33,(1.45),4.16,(2.31),6.41,(1.87),4
bathe,1153,7.37,(1.52),4.63,(2.48),5.93,(1.96),5
bathroom,548,5.55,(1.36),3.88,(1.72),5.65,(1.59),8
bathtub,652,6.69,(1.57),4.36,(2.59),5.76,(1.76),7
baton,1154,5.16,(1.53),4.38,(1.91),5.22,(1.45),5
battle,2550,4.08,(1.89),5.40,(2.31),5.36,(2.14),6
battleship,1155,4.93,(2.62),5.85,(2.64),3.89,(2.21),10
bawl,1156,3.41,(1.48),5.00,(2.06),3.97,(1.36),4
beach,34,8.03,(1.59),5.53,(3.07),5.44,(2.52),5
beads,1157,5.54,(1.32),4.11,(2.44),4.61,(1.77),5
bean,1158,5.35,(1.76),3.97,(2.27),5.80,(1.99),4
bear,1159,4.78,(2.03),6.52,(2.44),3.78,(2.24),4
beard,1160,5.82,(2.06),4.30,(2.33),5.89,(1.95),5
beast,653,4.23,(2.41),5.57,(2.61),4.89,(2.29),5
beautiful,654,7.60,(1.64),6.17,(2.34),6.29,(1.81),9
beauty,35,7.82,(1.16),4.95,(2.57),5.53,(2.10),6
bed,549,7.51,(1.38),3.61,(2.56),6.88,(1.78),3
bedroom,2551,7.00,(1.62),5.16,(2.49),6.05,(2.29),7
bedspread,1161,5.60,(1.94),4.21,(2.18),5.90,(1.68),9
beer,1162,5.96,(2.32),5.36,(2.44),5.18,(2.36),4
bees,583,3.20,(2.07),6.51,(2.14),4.16,(2.11),4
beet,1163,4.33,(1.52),4.03,(2.28),5.03,(1.32),4
beg,1164,2.75,(1.86),5.00,(2.25),3.30,(2.00),3
beggar,36,3.22,(2.02),4.91,(2.45),4.09,(2.38),6
beginning,1165,6.20,(2.09),4.87,(2.05),6.10,(2.09),9
behave,1166,5.50,(2.05),3.93,(2.02),4.56,(2.15),6
belief,1167,6.61,(1.79),5.70,(2.48),5.85,(2.07),6
bell,1168,5.38,(1.40),4.45,(1.78),5.10,(1.23),4
belly,1169,4.96,(1.71),4.33,(2.08),4.96,(1.79),5
belong,1170,6.46,(1.71),5.64,(2.23),5.75,(1.60),6
belt,2552,4.71,(1.62),3.86,(2.15),4.89,(1.87),4
bench,655,4.61,(1.40),3.59,(2.07),4.68,(1.38),5
benefit,1171,6.59,(1.78),5.14,(2.23),6.03,(2.13),7
berate,1172,3.53,(2.01),5.47,(2.37),3.83,(1.93),6
bereavement,656,4.57,(1.70),4.20,(2.15),4.33,(1.73),11
best,2553,7.35,(1.83),5.99,(2.51),6.19,(2.28),4
betray,37,1.68,(1.02),7.24,(2.06),4.92,(2.97),6
betrayal,2554,2.28,(1.65),5.37,(2.67),4.18,(2.72),8
beverage,657,6.83,(1.48),5.21,(2.46),5.63,(2.17),8
beware,1173,3.52,(1.60),6.38,(1.93),3.69,(2.19),6
bib,1174,5.57,(1.91),4.37,(2.09),4.77,(1.68),3
bible,1175,5.97,(2.28),4.57,(2.75),4.47,(2.16),5
bicker,1176,3.21,(1.37),5.36,(2.25),4.61,(1.69),6
bicyclist,1177,5.40,(1.61),4.93,(1.96),5.13,(1.33),9
bikini,1178,6.47,(2.32),6.27,(2.05),5.20,(2.19),6
binge,1179,3.25,(1.68),4.94,(2.20),4.28,(2.52),5
binoculars,1180,6.18,(1.54),4.44,(1.87),6.19,(1.90),10
bird,38,7.27,(1.36),3.17,(2.23),4.42,(2.26),4
birth,1181,7.64,(1.42),6.82,(2.36),4.96,(2.10),5
birthday,39,7.84,(1.92),6.68,(2.11),5.89,(2.61),8
bitch,1182,3.00,(1.98),6.36,(2.72),4.36,(2.34),5
bitter,2555,3.31,(1.52),4.40,(1.96),5.17,(1.86),6
bizarre,2556,4.73,(1.34),4.96,(2.09),5.02,(1.53),7
black,543,5.39,(1.80),4.61,(2.24),5.14,(1.79),5
blackmail,40,2.95,(1.95),6.03,(2.70),3.54,(2.67),9
blade,1183,4.30,(2.05),6.07,(2.08),4.87,(1.78),5
blame,1184,2.77,(1.41),4.93,(2.02),3.47,(1.59),5
bland,658,4.10,(1.08),3.29,(1.89),4.88,(1.27),5
blanket,1185,6.94,(1.34),3.41,(2.15),5.75,(1.70),7
blase,41,4.89,(1.16),3.94,(1.76),4.57,(1.44),5
blasphemy,659,3.75,(2.26),4.93,(2.34),4.75,(1.59),9
bleak,2557,3.57,(1.68),3.37,(1.88),4.65,(2.10),5
bleed,1186,2.97,(1.78),5.64,(2.67),3.93,(2.14),5
bless,42,7.19,(1.69),4.05,(2.59),5.52,(2.22),5
blessing,2558,6.90,(1.96),5.24,(2.50),5.19,(1.97),8
blessings,2559,7.63,(1.70),5.42,(2.53),5.21,(2.01),9
blight,1187,4.03,(1.65),4.66,(2.15),4.40,(1.52),6
blind,43,3.05,(1.99),4.39,(2.36),3.28,(1.91),5
bliss,660,6.95,(2.24),4.41,(2.95),6.12,(2.15),5
blister,661,2.88,(1.75),4.10,(2.34),3.98,(1.90),7
blizzard,2560,4.12,(2.18),5.29,(2.26),4.03,(2.03),8
blob,1188,5.23,(2.12),4.81,(2.46),5.70,(1.86),4
blond,662,6.43,(2.04),5.07,(2.70),5.74,(1.67),5
blonde,1189,6.18,(2.18),4.86,(2.63),5.14,(2.37),6
blood,1190,3.64,(1.57),6.00,(2.72),4.54,(2.44),5
bloody,584,2.90,(1.98),6.41,(2.00),3.96,(1.89),6
bloom,1191,7.21,(1.42),4.96,(2.03),5.36,(1.77),5
blossom,44,7.26,(1.18),5.03,(2.65),5.53,(2.21),7
blouse,1192,5.75,(1.71),4.43,(2.33),4.71,(2.31),6
blowdryer,1193,5.31,(1.33),3.84,(1.90),5.41,(1.46),9
blubber,663,3.52,(1.99),4.57,(2.38),3.86,(1.97),7
blue,544,6.76,(1.78),4.31,(2.20),5.63,(1.64),4
blues,1194,4.11,(2.18),3.46,(2.01),4.75,(2.41),5
blurt,1195,4.48,(1.09),5.36,(1.93),4.75,(1.62),5
board,664,4.82,(1.23),3.36,(2.12),4.98,(1.77),5
boat,1196,7.79,(1.37),5.31,(2.90),5.66,(2.16),4
body,665,5.55,(2.37),5.52,(2.63),5.34,(2.12),4
boil,2561,4.32,(1.72),4.84,(2.34),5.39,(1.77),4
bold,45,6.80,(1.61),5.60,(2.21),6.67,(1.81),4
bolt,1197,5.42,(1.53),5.73,(1.99),5.08,(1.79),4
bomb,46,2.10,(1.19),7.15,(2.40),4.54,(2.88),4
bone,1198,5.00,(1.24),4.62,(2.62),4.88,(1.48),4
bonus,1199,8.00,(1.80),6.83,(2.65),6.83,(2.05),5
boobs,2562,6.57,(1.96),5.30,(2.74),5.61,(2.32),5
book,47,5.72,(1.54),4.17,(2.49),5.30,(2.05),4
boom,1200,5.10,(1.83),6.67,(1.83),4.60,(2.25),4
boost,1201,6.33,(1.94),5.52,(2.67),5.14,(1.68),5
booth,1202,5.20,(0.71),4.20,(1.99),5.23,(1.59),5
boots,1203,5.97,(1.87),4.67,(2.04),5.77,(1.76),5
bore,2563,3.31,(1.72),2.94,(1.97),4.79,(2.07),4
bored,48,2.95,(1.35),2.83,(2.31),4.11,(1.70),5
boring,1204,3.38,(2.54),2.29,(2.07),4.18,(1.79),6
born,2564,6.41,(1.97),5.25,(2.32),5.28,(1.93),4
borrow,2565,4.98,(1.33),4.46,(1.87),5.02,(1.63),6
bothered,1205,3.00,(1.46),6.17,(2.10),4.17,(1.93),8
bottle,666,6.15,(1.49),4.79,(2.44),4.78,(1.65),6
bounty,1206,5.08,(1.35),5.64,(1.85),4.96,(1.49),6
bouquet,667,7.02,(1.84),5.46,(2.47),6.15,(1.80),7
bowl,49,5.33,(1.33),3.47,(2.12),4.69,(1.67),4
boxer,585,5.51,(1.80),5.12,(2.26),5.10,(1.64),5
boy,50,6.32,(1.60),4.58,(2.37),5.34,(2.20),3
boyfriend,1207,5.74,(2.58),5.73,(2.50),4.67,(2.29),9
bracelet,1208,6.17,(1.49),5.10,(1.90),5.47,(1.11),8
braces,1209,3.17,(1.71),5.24,(1.88),3.90,(2.23),6
brain,1210,6.70,(1.82),5.53,(2.08),5.93,(2.08),5
brat,2566,3.13,(1.80),4.65,(2.35),5.17,(2.38),4
brave,668,7.15,(1.64),6.15,(2.45),7.22,(1.86),5
bravery,2567,6.81,(1.72),6.00,(2.09),6.50,(1.85),7
break,1211,4.59,(2.09),5.23,(2.06),5.26,(1.73),5
breast,51,6.50,(1.78),5.37,(2.39),5.39,(2.27),6
breath,1212,6.07,(1.46),4.77,(2.39),6.00,(1.68),6
breathe,2568,6.70,(1.57),3.74,(2.46),5.97,(2.25),7
breathless,1213,4.54,(2.10),5.85,(1.87),4.31,(1.76),10
breeze,669,6.85,(1.71),4.37,(2.32),5.54,(1.67),6
bribe,1214,4.14,(1.88),6.00,(1.62),4.48,(1.95),5
brick,1215,4.79,(1.97),4.46,(2.13),5.14,(1.63),5
bride,670,7.34,(1.71),5.55,(2.74),5.74,(2.36),5
bridesmaid,2569,6.66,(1.50),5.78,(2.06),5.20,(1.82),10
bridge,1216,5.26,(1.32),5.03,(1.82),4.68,(1.74),6
brief,2570,5.55,(1.60),4.12,(2.19),5.16,(1.86),5
bright,671,7.50,(1.55),5.40,(2.33),6.34,(1.82),6
brilliance,2571,7.40,(1.71),5.99,(2.25),6.12,(2.06),10
brilliant,2572,7.15,(1.90),5.91,(2.34),6.25,(1.97),9
broad,2573,5.38,(1.40),3.99,(2.11),5.47,(1.88),5
broken,672,3.05,(1.92),5.43,(2.42),4.14,(1.62),6
brood,1217,4.57,(1.98),4.63,(1.88),5.21,(1.68),5
broom,1218,4.83,(0.79),3.23,(1.98),5.23,(1.59),5
broth,1219,5.23,(1.65),3.93,(2.00),5.33,(1.56),5
brother,52,7.11,(2.17),4.71,(2.68),5.12,(2.31),7
brow,1220,5.30,(0.79),3.57,(1.96),5.13,(1.59),4
brownie,1221,7.33,(2.14),6.10,(2.16),5.97,(1.97),7
brownies,2574,7.96,(1.48),6.42,(2.70),6.04,(2.21),8
bruise,1222,3.38,(1.45),5.93,(1.62),4.52,(1.99),6
brutal,53,2.80,(1.90),6.60,(2.36),4.59,(2.70),6
brutality,2575,2.70,(1.95),5.38,(2.58),4.76,(2.58),9
bucket,1223,5.10,(1.29),4.17,(1.89),5.34,(1.45),6
buddy,2576,7.62,(1.39),5.43,(2.09),5.51,(1.75),5
buffalo,1224,6.04,(1.56),4.59,(2.47),4.30,(1.73),7
bug,1225,3.73,(2.00),5.57,(2.27),4.50,(1.48),3
bugle,1226,5.27,(1.48),4.73,(1.95),5.03,(0.85),5
building,550,5.29,(1.15),3.92,(1.94),5.25,(1.57),8
bulb,1227,5.17,(0.91),4.24,(1.72),5.10,(1.05),4
bulge,1228,3.46,(1.69),4.82,(2.44),4.32,(1.76),5
bulky,2577,4.72,(1.48),4.33,(1.78),5.40,(1.83),5
bullet,673,3.29,(2.06),5.33,(2.48),3.90,(2.61),6
bullshit,2578,4.14,(2.25),5.15,(2.36),5.29,(2.31),8
bully,2579,2.39,(1.67),5.39,(2.47),4.36,(2.79),5
bumble,1229,4.83,(1.73),5.03,(1.92),4.76,(1.57),6
bunny,54,7.24,(1.32),4.06,(2.61),4.97,(2.18),5
burdened,55,2.50,(1.32),5.63,(2.07),5.03,(2.35),8
burglar,1230,2.52,(1.45),6.62,(2.06),3.41,(2.16),7
burglary,2580,2.88,(1.76),5.23,(2.49),4.75,(2.67),8
burial,56,2.05,(1.41),5.08,(2.40),3.55,(1.95),6
